english,hits,source_tags,label_from,top_sources
mocking,873,5,top_en,不屑(219) | 嘲笑(181) | mocking(178) | 轻蔑(177) | mockingly(118)
begging,818,4,top_en,🥺(467) | begging(144) | pleading(114) | beg(93)
giggle,805,3,top_en,giggle(340) | giggles(332) | giggling(133)
chuckles,739,4,top_en,chuckles(352) | chuckle(213) | 轻笑(100) | chuckling(74)
embarrassed,733,4,top_en,embarrassed(224) | 😳(220) | 尴尬(164) | 尴尬的(125)
authoritative,725,6,top_en,authoritative(300) | dominant(142) | commanding(106) | 威严(72) | 命令(53) | bossy(52)
panting,639,2,top_en,panting(523) | pant(116)
teasing,635,4,top_en,teasing(337) | 调侃(117) | 戏谑(114) | tease(67)
hope,633,3,top_en,hope(310) | hopeful(178) | 期待(145)
weak,627,4,top_en,虚弱(272) | 虚弱的(151) | weak(129) | 无力(75)
gasp,595,2,top_en,gasp(470) | gasping(125)
disappointed,566,4,top_en,disappointed(276) | 沮丧(119) | 失望(111) | 遗憾(60)
desperate,509,4,top_en,desperate(226) | 绝望(103) | 绝望的(95) | 崩溃(85)
moved,505,3,invented,🥹(206) | 感慨(167) | 感动(132)
mysterious,490,3,top_en,mysterious(371) | 神秘(64) | misterioso(55)
quiet,480,2,top_en,quiet(360) | quietly(120)
romantic,422,2,top_en,romantic(339) | intimate(83)
groan,412,2,top_en,groan(297) | groaning(115)
passionate,407,4,top_en,passionate(167) | 激情(102) | 激情的(75) | passion(63)
caring,398,3,top_en,caring(189) | 关心(120) | 关心的(89)
intense,388,2,top_en,intense(296) | intenso(92)
grateful,357,4,top_en,感激(139) | grateful(78) | 感谢(76) | thankful(64)
empathetic,356,1,top_en,empathetic(356)
hesitant,340,4,top_en,犹豫(119) | hesitant(104) | 犹豫的(60) | hesitate(57)
disgusted,335,3,top_en,disgusted(149) | 嫌弃(118) | disgust(68)
cough,333,1,top_en,cough(333)
encouraging,322,4,top_en,motivational(90) | inspiring(89) | encouraging(85) | 鼓励(58)
threatening,314,4,top_en,威胁(103) | threatening(81) | 警告(76) | menacing(54)
skeptical,310,2,top_en,🤨(234) | skeptical(76)
relieved,293,2,top_en,relieved(200) | 欣慰(93)
sincere,264,3,top_en,sincere(139) | 真诚(73) | heartfelt(52)
crazy,254,3,top_en,疯狂(150) | crazy(53) | 癫狂(51)
whimpering,249,2,top_en,whimpering(143) | whimper(106)
clear_throat,231,2,top_en,clears throat(127) | clear throat(104)
bored,227,1,top_en,bored(227)
evil,216,1,top_en,evil(216)
reassuring,215,2,top_en,reassuring(116) | 安慰(99)
nostalgic,210,3,top_en,nostalgic(86) | reminiscing(73) | 回忆(51)
guilty,205,3,top_en,愧疚(94) | 心虚(56) | guilty(55)
drunk,196,2,top_en,🥴(120) | drunk(76)
cute,178,1,top_en,cute(178)
sweet,169,1,top_en,sweet(169)
satisfied,142,1,top_en,satisfied(142)
polite,132,1,top_en,polite(132)
envious,125,1,top_en,envious(125)
obsessed,114,1,top_en,obsessed(114)
tender,93,1,top_en,tender(93)
grunt,77,1,top_en,grunt(77)
sick,76,1,top_en,sick(76)
yawn,70,1,top_en,yawn(70)
stutter,68,1,top_en,stutter(68)
tsundere,64,1,invented,傲娇(64)
sniffles,63,1,top_en,sniffles(63)
growl,60,1,top_en,growl(60)
sassy,53,1,top_en,sassy(53)
apologetic,51,1,top_en,apologetic(51)
inhale,0,0,invented,吸气 (manually added common breath event)
exhale,0,0,invented,呼气 (manually added common breath event)
